street,delta_s,Delta_s,sigma_s,Sigma_s,ratio_demand,ratio_supply,raw_gap,m_i,weight_eta,W_FPG
定海路街道,213.0,248,8.0,11.0,0.8588709677419355,0.7272727272727273,0.1315982404692082,0.1315982404692082,0.016937529999524272,0.002228949145831823
宜川路街道,97.0,101,21.0,24.0,0.9603960396039604,0.875,0.08539603960396036,0.08539603960396036,0.0068572995949490985,0.0005855862277864946
宝山城市工业园区,502.0,550,170.0,244.0,0.9127272727272727,0.6967213114754098,0.2160059612518629,0.2160059612518629,0.03764657477627055,0.008131884572388455
宝山路街道,1.0,1,0.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0
宣桥镇,437.0,648,10.0,71.0,0.6743827160493827,0.14084507042253522,0.5335376456268475,0.5335376456268475,0.044366728379320666,0.023671319803668586
小东门街道,248.0,271,38.0,72.0,0.915129151291513,0.5277777777777778,0.38735137351373516,0.38735137351373516,0.018514708906362566,0.007171697925086525
小昆山镇,53.0,57,0.0,28.0,0.9298245614035088,0.0,0.9298245614035088,0.9298245614035088,0.003840087773171495,0.003570607929440162
山阳镇,499.0,544,78.0,98.0,0.9172794117647058,0.7959183673469388,0.12136104441776707,0.12136104441776707,0.0372351368005736,0.0045188950911560465
岳阳街道,36.0,66,0.0,17.0,0.5454545454545454,0.0,0.5454545454545454,0.5454545454545454,0.004457244736716914,0.0024312244018455894
川沙新镇,4873.0,5485,86.0,199.0,0.8884229717411122,0.4321608040201005,0.4562621677210117,0.4562621677210117,0.37605430978700854,0.1715793545642494
平凉路街道,390.0,425,66.0,144.0,0.9176470588235294,0.4583333333333333,0.45931372549019606,0.45931372549019606,0.029074950282584177,0.013354523732735967
广中路街道,219.0,243,1.0,1.0,0.9012345679012346,1.0,-0.09876543209876543,0.09876543209876543,0.016594665019776817,-0.001638979261212525
庄行镇,31.0,132,8.0,51.0,0.23484848484848486,0.1568627450980392,0.07798573975044565,0.07798573975044565,0.008983062469383319,0.0007005507718993231
庙行镇,922.0,1034,8.0,32.0,0.8916827852998066,0.25,0.6416827852998066,0.6416827852998066,0.07083590481582418,0.04545418070145004
庙镇,82.0,301,8.0,11.0,0.2724252491694352,0.7272727272727273,-0.45484747810329207,0.45484747810329207,0.020571898784847293,-0.00935707628208397
康健新村街道,103.0,113,2.0,36.0,0.911504424778761,0.05555555555555555,0.8559488692232055,0.8559488692232055,0.00768017554634299,0.0065738375743279965
康桥镇,5063.0,5619,98.0,285.0,0.9010500088983805,0.34385964912280703,0.5571903597755734,0.5571903597755734,0.38524309124424033,0.21465373661143233
廊下镇,12.0,63,21.0,41.0,0.19047619047619047,0.5121951219512195,-0.32171893147502906,0.32171893147502906,0.004251525748868441,-0.0013677963210645275
延吉新村街道,16.0,18,2.0,4.0,0.8888888888888888,0.5,0.38888888888888884,0.38888888888888884,0.0011657409311413467,0.000453343695443857
建设镇,0.0,88,72.0,123.0,0.0,0.5853658536585366,-0.5853658536585366,0.5853658536585366,0.0059658506476057156,-0.003492205257135053
张堰镇,103.0,158,16.0,48.0,0.6518987341772152,0.3333333333333333,0.3185654008438819,0.3185654008438819,0.010765960364070085,0.0034296624788493313
张庙街道,826.0,923,12.0,34.0,0.894907908992416,0.35294117647058826,0.5419667325218278,0.5419667325218278,0.06322430226543069,0.03426546851476787
张江镇,1111.0,1221,18.0,85.0,0.9099099099099099,0.21176470588235294,0.698145204027557,0.698145204027557,0.08365905505837899,0.05840616806248462
张江高科技园区,571.0,594,15.0,103.0,0.9612794612794613,0.14563106796116504,0.8156483933182963,0.8156483933182963,0.04066378659804815,0.033167352204936044
彭浦新村街道,130.0,158,121.0,133.0,0.8227848101265823,0.9097744360902256,-0.08698962596364324,0.08698962596364324,0.010765960364070085,-0.000936526865209865
彭浦镇,1562.0,1816,310.0,489.0,0.8601321585903083,0.6339468302658486,0.2261853283244597,0.2261853283244597,0.12445998764832614,0.028151023169494846
徐家汇街道,493.0,530,27.0,37.0,0.930188679245283,0.7297297297297297,0.20045894951555332,0.20045894951555332,0.03627511485728073,0.0072716714178465355
徐泾镇,5622.0,6047,328.0,754.0,0.9297172151480073,0.4350132625994695,0.49470395254853783,0.49470395254853783,0.41459233351062247,0.20510046608402654
徐行镇,837.0,988,58.0,121.0,0.847165991902834,0.4793388429752066,0.3678271489276274,0.3678271489276274,0.0676815470021476,0.024895110468811158
惠南镇,714.0,1124,22.0,299.0,0.6352313167259787,0.07357859531772576,0.561652721408253,0.561652721408253,0.07700747445127837,0.043251457594337
打浦桥街道,104.0,113,20.0,56.0,0.9203539823008849,0.35714285714285715,0.5632111251580278,0.5632111251580278,0.00768017554634299,0.004325560310867007
控江路街道,245.0,288,3.0,8.0,0.8506944444444444,0.375,0.4756944444444444,0.4756944444444444,0.019680449837503913,0.00936188065186818
斜土路街道,0.0,7,0.0,5.0,0.0,0.0,0.0,0.0,0.0004114379756969459,0.0
新华路街道,29.0,30,46.0,54.0,0.9666666666666667,0.8518518518518519,0.11481481481481481,0.11481481481481481,0.0019886168825352384,0.00022832267910589775
