station_id,D_i,Event_Count,D_norm,A_i,CACL,Quad,Color
11312,18301.17,21,0.2501167226818581,0.006135280287515867,0.039173156603062725,Q3,#7f7f7f
11314,5584.88,19,0.07629671406495071,0.0036492058869440273,0.016685994669791288,Q3,#7f7f7f
11315,31907.11,378,0.43609742995112655,0.03393440899847805,0.12164994266807798,Q4,#d62728
11316,17146.71,13,0.23433631446940975,0.09740581751572501,0.1510818330723945,Q3,#7f7f7f
11318,2915.94,76,0.03981475479868604,0.2509844258398476,0.09996441053246166,Q3,#7f7f7f
11319,3144.6000000000004,7,0.04294032705052538,0.13449713238898678,0.07599572917040077,Q3,#7f7f7f
11321,224.12,7,0.003020046940091766,0.07116598026411829,0.014660306986392932,Q3,#7f7f7f
11322,61.55,2,0.0007978643065681017,0.08269278895496664,0.00812266118447254,Q3,#7f7f7f
11323,2165.52,11,0.02955720240987612,0.12081350750259688,0.05975708573132849,Q3,#7f7f7f
11324,162.66,5,0.0021799451706609706,0.0646325799430715,0.01186994020685268,Q3,#7f7f7f
11325,2214.6,9,0.03022808094621949,0.15975393052606707,0.06949140049976457,Q3,#7f7f7f
11334,2387.09,10,0.03258586087152242,0.13740578937512357,0.06691401897599254,Q3,#7f7f7f
11338,2308.35,8,0.031509557368024514,0.07826861824625417,0.049660945588524144,Q3,#7f7f7f
11340,2621.95,23,0.03579618143072379,0.019206983196501475,0.02622092018291559,Q3,#7f7f7f
11341,38377.14,43,0.5245367994804192,0.013208326502760805,0.08323612983705184,Q4,#d62728
11342,24490.8,123,0.3347232816652934,0.008498192619634148,0.05333425655118593,Q4,#d62728
11346,4621.87,43,0.06313325156935112,0.014272700582737427,0.030018027857672235,Q3,#7f7f7f
11348,5540.25,14,0.07568666294276236,0.014401557638414357,0.03301523646484199,Q3,#7f7f7f
11349,84780.28,130,1.0,0.0032590426874281085,0.057088025779738684,Q4,#d62728
11350,35029.130000000005,27,0.4787725768140998,0.013041718560583683,0.0790190939035302,Q4,#d62728
11352,7699.49,33,0.10520149119895746,0.038460614464611624,0.06360907163373268,Q3,#7f7f7f
11356,1637.27,5,0.02233650993181205,0.19268236173237877,0.06560374597932865,Q3,#7f7f7f
11357,15887.58,12,0.21712516346154453,0.08506052610189549,0.13589989195727506,Q3,#7f7f7f
11358,15378.95,10,0.21017265836903584,0.14181777958989455,0.1726447790707907,Q3,#7f7f7f
11359,3446.54,6,0.047067569619056684,0.08931821456404901,0.0648381930828059,Q3,#7f7f7f
11360,370.14,2,0.005016006269286116,0.008329979761291628,0.006463994949384264,Q3,#7f7f7f
11367,2667.77,11,0.03642249876029293,0.058010150550907774,0.045966016104561906,Q3,#7f7f7f
11368,14130.990000000002,8,0.1931141910052406,0.20250381451037452,0.19775328142573584,Q3,#7f7f7f
11369,406.44,1,0.0055121939398090234,0.006756283413749899,0.006102617839001916,Q3,#7f7f7f
11371,2446.53,60,0.03339835109565139,0.17287272639115162,0.07598463009631726,Q3,#7f7f7f
11372,2801.29,13,0.03824759456657994,0.04816233112733459,0.04291961456420207,Q3,#7f7f7f
11380,6805.82,19,0.09298584283762945,0.06214718872005504,0.0760184761957482,Q3,#7f7f7f
