station_id,Time_Window,vehicleposition_longitude,vehicleposition_latitude,W_FPG,abs_w_fpg,delta_s,Delta_s,Sigma_s
10684,Whole_Day,121.274,31.39,-9.869232667160129e-06,9.869232667160129e-06,63.0,65,8.0
10688,Whole_Day,121.22799999999998,31.105999999999998,8.882309400444115e-05,8.882309400444115e-05,18.0,23,16.0
10689,Whole_Day,121.39320000000001,31.396300000000004,1.4803849000740194e-05,1.4803849000740194e-05,13.0,20,8.0
10692,Whole_Day,121.24,31.106000000000005,0.0,0.0,0.0,3,36.0
10693,Whole_Day,121.232,31.11475,-1.9738465334320257e-05,1.9738465334320257e-05,0.0,4,8.0
10694,Whole_Day,121.24166666666667,31.105,0.0,0.0,0.0,6,36.0
10699,Whole_Day,121.48301162790699,31.106976744186046,0.00038983469035282507,0.00038983469035282507,79.0,86,6.0
10700,Whole_Day,121.47882978723405,31.111148936170213,0.001065877128053294,0.001065877128053294,216.0,235,5.0
10701,Whole_Day,121.48115,31.112125,0.00019738465334320256,0.00019738465334320256,40.0,40,5.0
10703,Whole_Day,121.478,31.114,0.0,0.0,0.0,2,5.0
10704,Whole_Day,121.48,31.116,0.0,0.0,0.0,2,5.0
10705,Whole_Day,121.469,31.121,0.0,0.0,0.0,8,5.0
10710,Whole_Day,121.47,31.121,0.0,0.0,0.0,2,5.0
10712,Whole_Day,121.242,31.396,-0.00020231926967678254,0.00020231926967678254,539.0,580,1.0
10714,Whole_Day,121.24130769230769,31.395384615384614,4.441154700222058e-05,4.441154700222058e-05,9.0,13,20.0
10720,Whole_Day,121.256,31.411,9.375771033802121e-05,9.375771033802121e-05,33.0,35,5.0
10721,Whole_Day,121.32963636363637,31.359,0.0,0.0,2.0,22,11.0
10726,Whole_Day,121.24799999999999,31.175,-0.0002566000493461635,0.0002566000493461635,723.0,775,2.0
10728,Whole_Day,121.247,31.175,-4.934616333580064e-06,4.934616333580064e-06,7.0,8,2.0
10729,Whole_Day,121.239,31.182,0.0,0.0,0.0,10,9.0
10730,Whole_Day,121.249,31.175,-4.934616333580064e-06,4.934616333580064e-06,1.0,2,2.0
10731,Whole_Day,121.251,31.173,-9.869232667160129e-06,9.869232667160129e-06,0.0,2,2.0
10736,Whole_Day,121.24711111111111,31.106222222222225,0.0,0.0,0.0,18,6.0
10737,Whole_Day,121.24381578947369,31.101394736842106,8.38884776708611e-05,8.38884776708611e-05,17.0,38,6.0
10743,Whole_Day,121.23046153846154,31.097615384615384,-3.421333991282178e-05,3.421333991282178e-05,0.0,13,15.0
10747,Whole_Day,121.23,31.092,-5.263590755818735e-06,5.263590755818735e-06,0.0,2,15.0
10748,Whole_Day,121.241,31.092,0.0,0.0,0.0,6,6.0
10749,Whole_Day,121.24914285714284,31.107,0.0,0.0,0.0,7,36.0
10752,Whole_Day,121.284,31.391,-7.740574640909905e-07,7.740574640909905e-07,0.0,1,51.0
10753,Whole_Day,121.312,31.417999999999996,-2.9607698001480386e-05,2.9607698001480386e-05,0.0,6,1.0
10761,Whole_Day,121.6353,31.217200000000002,0.0,0.0,0.0,10,5.0
10769,Whole_Day,121.47591304347826,31.097217391304348,0.0,0.0,0.0,23,1.0
10772,Whole_Day,121.48796721311474,31.095000000000002,-5.428077966938067e-05,5.428077966938067e-05,172.0,183,4.0
10779,Whole_Day,121.48213333333334,31.092233333333333,-8.388847767086108e-05,8.388847767086108e-05,43.0,60,4.0
10782,Whole_Day,121.49801904761905,31.117009523809525,-9.869232667160128e-05,9.869232667160128e-05,190.0,210,6.0
10783,Whole_Day,121.25712962962963,31.410000000000004,0.0006168270416975079,0.0006168270416975079,233.0,270,5.0
10788,Whole_Day,121.672,31.292,0.0,0.0,0.0,2,3.0
10789,Whole_Day,121.673,31.29,0.0,0.0,0.0,1,3.0
10791,Whole_Day,121.2193,31.275,-1.4803849000740178e-05,1.4803849000740178e-05,67.0,70,20.0
10794,Whole_Day,121.214,31.278,0.0008191463113742907,0.0008191463113742907,166.0,176,1.0
10797,Whole_Day,121.684,31.221,-9.869232667160129e-06,9.869232667160129e-06,0.0,2,2.0
10800,Whole_Day,121.226,31.153,1.5701051970482024e-06,1.5701051970482024e-06,1.0,1,22.0
10802,Whole_Day,121.22600000000001,31.152,4.082273512325326e-05,4.082273512325326e-05,26.0,26,22.0
10804,Whole_Day,121.22100000000002,31.154,0.00011813471502590675,0.00011813471502590675,42.0,43,50.0
10806,Whole_Day,121.236,31.18581818181818,0.0,0.0,0.0,11,6.0
10807,Whole_Day,121.233,31.185,0.0,0.0,0.0,2,6.0
10810,Whole_Day,121.251,31.101,0.0,0.0,0.0,4,8.0
10812,Whole_Day,121.253,31.109,0.0,0.0,0.0,1,99.0
10814,Whole_Day,121.249,31.118,0.0,0.0,0.0,4,1.0
