station_id,S_i,B_i,Total_Volume,Daily_Events
10252,-1.0,0.0,20,2.857142857142857
10254,-0.25392156862745097,0.4045675647036086,133,19.0
10256,0.0,0.0,5,0.7142857142857143
10258,-0.0585605014952841,0.14779296224715266,488,69.71428571428571
10261,-0.20766283524904214,0.36421666144060144,132,18.857142857142858
10262,-0.09090909090909091,0.30151134457776363,12,1.7142857142857142
10263,-0.5,0.0,12,1.7142857142857142
10264,0.4861111111111111,0.06804138174397718,27,3.857142857142857
10267,-1.0,0.0,7,1.0
10268,-1.0,0.0,35,5.0
10269,-1.0,0.0,7,1.0
10270,-1.0,0.0,11,1.5714285714285714
10271,-1.0,0.0,11,1.5714285714285714
10272,0.0,0.0,7,1.0
10274,-1.0,0.0,16,2.2857142857142856
10276,-1.0,0.0,19,2.7142857142857144
10277,0.0,0.0,7,1.0
10279,0.0,0.0,5,0.7142857142857143
10281,-1.0,0.0,14,2.0
10283,0.24468085106382978,0.4282464297870408,51,7.285714285714286
10285,,0.0,6,0.8571428571428571
10286,,0.0,7,1.0
10288,-0.25,0.0,5,0.7142857142857143
10290,-1.0,0.0,9,1.2857142857142858
10291,-1.0,0.0,8,1.1428571428571428
10295,-0.3163265306122449,0.4529288661844476,59,8.428571428571429
10296,-0.29545454545454547,0.4235686283222058,53,7.571428571428571
10301,-1.0,0.0,13,1.8571428571428572
10304,-1.0,0.0,5,0.7142857142857143
10309,-1.0,0.0,5,0.7142857142857143
10312,0.0,0.0,20,2.857142857142857
10313,0.0,0.0,17,2.4285714285714284
10314,0.0,0.0,25,3.5714285714285716
10317,-1.0,0.0,15,2.142857142857143
10318,0.8350649350649351,0.3478377698712561,104,14.857142857142858
10319,-0.5,0.0,40,5.714285714285714
10321,-0.25,0.0,23,3.2857142857142856
10324,0.5130434782608695,0.2881040655200304,29,4.142857142857143
10330,0.0,0.0,43,6.142857142857143
10335,-1.0,0.0,23,3.2857142857142856
10343,-0.04666666666666666,0.20138409955990955,34,4.857142857142857
10345,-0.15217391304347827,0.4548088828228822,32,4.571428571428571
10346,0.0,0.0,18,2.5714285714285716
10348,-1.0,0.0,9,1.2857142857142858
10349,-1.0,0.0,9,1.2857142857142858
10351,-0.04272727272727273,0.1782736227557947,183,26.142857142857142
10357,0.027777777777777776,0.1178511301977579,21,3.0
10362,0.0,0.0,17,2.4285714285714284
10363,-0.5,0.0,35,5.0
10369,-0.22222222222222224,0.0,5,0.7142857142857143
10370,-0.2222222222222222,0.0,11,1.5714285714285714
10374,-0.2222222222222222,0.0,19,2.7142857142857144
10376,0.9474885844748859,0.20949069694268094,101,14.428571428571429
10380,-0.2222222222222222,0.0,50,7.142857142857143
10381,0.9166666666666666,0.20275875100994062,248,35.42857142857143
10388,0.2036231884057971,0.37497181858681,74,10.571428571428571
10393,-0.2222222222222222,0.0,6,0.8571428571428571
10400,0.0,0.0,20,2.857142857142857
10404,0.0,0.0,13,1.8571428571428572
10407,0.0,0.0,26,3.7142857142857144
10411,-0.04599543521112148,0.12705296829501164,602,86.0
10412,-0.47619047619047616,0.5117663157191591,23,3.2857142857142856
10416,-1.0,0.0,5,0.7142857142857143
10417,0.946390977443609,0.17664781656547085,173,24.714285714285715
10428,0.0,0.0,13,1.8571428571428572
10429,0.0,0.0,12,1.7142857142857142
10431,0.0,0.0,13,1.8571428571428572
10435,-1.0,0.0,6,0.8571428571428571
10436,0.7571639275179098,0.38095271252845114,205,29.285714285714285
10438,-1.0,0.0,8,1.1428571428571428
10440,0.0,0.0,28,4.0
10442,-0.075,0.2575141924671996,83,11.857142857142858
10446,0.09406593995785,0.2340085421053145,912,130.28571428571428
10447,-0.25,0.0,18,2.5714285714285716
10448,0.14957259176009172,0.22523646877013823,285,40.714285714285715
10455,-0.25,0.0,15,2.142857142857143
10457,0.0,0.0,12,1.7142857142857142
10458,0.9642857142857143,0.14801086613774464,154,22.0
10459,,0.0,24,3.4285714285714284
10467,-1.0,0.0,13,1.8571428571428572
10472,0.2031963470319635,0.1816135144432974,115,16.428571428571427
10473,-0.07142857142857142,0.26726124191242434,16,2.2857142857142856
10480,0.9542124542124542,0.16771141819740978,168,24.0
10482,-0.5,0.0,8,1.1428571428571428
10485,-1.0,0.0,24,3.4285714285714284
10487,-1.0,0.0,8,1.1428571428571428
10491,-0.13157894736842105,0.32668814823747494,26,3.7142857142857144
10494,0.9224137931034483,0.24426265949579043,83,11.857142857142858
10495,-0.013333333333333334,0.06666666666666668,33,4.714285714285714
10497,-0.039473684210526314,0.15121341566151925,125,17.857142857142858
10503,0.9139736806403472,0.1941385829057386,311,44.42857142857143
10505,0.7333333333333333,0.416904693916396,17,2.4285714285714284
10507,0.9,0.29205156676015076,42,6.0
10509,0.881578947368421,0.3169578905938024,42,6.0
10512,0.41818658280922427,0.21938202584104527,256,36.57142857142857
10514,-1.0,0.0,35,5.0
10517,0.9668141592920354,0.15651359630866077,215,30.714285714285715
10520,-0.01726890756302521,0.1118398554241936,194,27.714285714285715
10526,0.9377179745137492,0.1681272763260589,385,55.0
10528,0.8393939393939394,0.3454043321058466,70,10.0
10535,0.9209090909090909,0.24297926109716647,201,28.714285714285715
10536,0.0,0.0,7,1.0
10538,0.0,0.0,12,1.7142857142857142
