station_id,delta_s,Delta_s,sigma_s,Sigma_s,ratio_demand,ratio_supply,W_FPG
10794,166.0,176,0.0,1.0,0.9431818181818182,0.0,0.0008191463113742907
10797,0.0,2,2.0,2.0,0.0,1.0,-9.869232667160129e-06
10800,1.0,1,15.0,22.0,1.0,0.6818181818181818,1.5701051970482024e-06
10802,26.0,26,15.0,22.0,1.0,0.6818181818181818,4.082273512325326e-05
10804,42.0,43,21.0,50.0,0.9767441860465116,0.42,0.00011813471502590675
10806,0.0,11,0.0,6.0,0.0,0.0,0.0
10807,0.0,2,0.0,6.0,0.0,0.0,0.0
10810,0.0,4,0.0,8.0,0.0,0.0,0.0
10812,0.0,1,0.0,99.0,0.0,0.0,0.0
10814,0.0,4,0.0,1.0,0.0,0.0,0.0
10816,201.0,216,0.0,1.0,0.9305555555555556,0.0,0.000991857883049593
10820,0.0,7,0.0,1.0,0.0,0.0,0.0
10822,0.0,7,0.0,4.0,0.0,0.0,0.0
10823,12.0,13,25.0,25.0,0.9230769230769231,1.0,-4.934616333580061e-06
10827,0.0,2,2.0,2.0,0.0,1.0,-9.869232667160129e-06
10828,0.0,11,1.0,22.0,0.0,0.045454545454545456,-2.467308166790032e-06
10830,18.0,18,6.0,6.0,1.0,1.0,0.0
10834,650.0,681,6.0,6.0,0.9544787077826725,1.0,-0.00015297310634098207
10849,0.0,3,0.0,22.0,0.0,0.0,0.0
10852,0.0,2,1.0,11.0,0.0,0.09090909090909091,-8.972029697418299e-07
10853,0.0,7,1.0,11.0,0.0,0.09090909090909091,-3.140210394096405e-06
10854,0.0,1,1.0,11.0,0.0,0.09090909090909091,-4.4860148487091495e-07
10856,0.0,14,1.0,11.0,0.0,0.09090909090909091,-6.28042078819281e-06
10857,0.0,4,8.0,16.0,0.0,0.5,-9.869232667160129e-06
10861,106.0,137,0.0,78.0,0.7737226277372263,0.0,0.0005230693313594869
