station_id,S_i,B_i,Total_Volume,Regime
16136,0.9122807017543859,0.27600986323408305,48,Q1
10966,0.8446666666666667,0.2764046788411165,91,Q1
12190,0.8879781420765027,0.2767558615850363,113,Q1
14677,0.9230769230769231,0.2773500981126145,15,Q1
12095,0.8999999999999999,0.2793290019994785,53,Q1
15482,0.39655172413793105,0.2796461522055144,44,Q1
10816,0.8934707903780069,0.2797005332782746,179,Q1
13981,0.9035087719298246,0.28055917431514815,116,Q1
13323,0.8714814814814815,0.2811409388428,171,Q1
10104,0.5648148148148149,0.28116384851806087,73,Q1
16436,0.8553459119496856,0.28124748023383417,84,Q1
12205,0.6964761904761905,0.2816011188760645,79,Q1
12293,0.6450617283950618,0.2817381495856401,33,Q1
10700,0.8867521367521368,0.28202983803283915,189,Q1
12037,0.9142857142857143,0.28402864099869063,45,Q1
11867,0.8668333333333333,0.28465718646244265,193,Q1
12098,0.8801169590643274,0.2847903468024459,78,Q1
12954,0.7881124913733609,0.28715220714697004,377,Q1
13211,0.8907630522088353,0.28726649539586113,147,Q1
14779,0.9130434782608695,0.2881040655200304,24,Q1
15618,0.6163753739568573,0.28929034861325387,136,Q1
12487,0.891156462585034,0.28977765344376394,63,Q1
15615,0.8857142857142857,0.28977871665096205,126,Q1
10783,0.45615079365079364,0.29012653870329963,226,Q1
14520,0.7041457811194654,0.29043548175122147,292,Q1
14267,0.8879781420765027,0.29142261452229323,93,Q1
13509,0.9090909090909091,0.2919371040605712,48,Q1
16817,0.8950617283950618,0.29548719017220715,86,Q1
12978,0.90625,0.29614458108029906,41,Q1
13367,0.5047619047619047,0.2971017571861746,47,Q1
15352,0.8777777777777778,0.29729899390432235,80,Q1
12281,0.8919753086419753,0.2987700282443951,81,Q1
12574,0.8725490196078431,0.2992365012162298,72,Q1
10062,0.8968253968253967,0.3003525265611065,57,Q1
12638,0.8236208236208236,0.30151134457776363,13,Q1
13114,0.509090909090909,0.30151134457776363,14,Q1
12957,0.8865079365079366,0.30198446938350426,148,Q1
10318,0.875,0.30389265583204994,91,Q1
13983,0.9,0.30512857662936466,32,Q1
15862,0.8806306306306307,0.3053558822383438,106,Q1
13907,0.8686868686868687,0.30832650825097035,44,Q1
10863,0.8870967741935484,0.30848223664026525,41,Q1
10676,0.8601190476190476,0.3094093194849291,80,Q1
15307,0.39655172413793105,0.30993404669460345,36,Q1
16804,0.875,0.3107907802540305,16,Q1
16004,0.8729166666666666,0.3112260357025827,49,Q1
15934,0.5684523809523809,0.3124404705204619,24,Q1
15007,0.8833333333333333,0.31303115778964624,36,Q1
10586,0.8918918918918919,0.3148000938676784,45,Q1
14463,0.8419811320754716,0.3149387370683693,210,Q1
15020,0.16558441558441556,0.314970394174356,28,Q1
10720,0.4947368421052632,0.3153017676423058,27,Q1
12980,0.8531859410430839,0.3155560697067922,135,Q1
10657,0.9,0.31622776601683794,10,Q1
13762,0.9,0.31622776601683794,10,Q1
16477,0.03506493506493508,0.31622776601683794,10,Q1
13094,0.845679012345679,0.31697577077389744,79,Q1
