street,delta_s,Delta_s,sigma_s,Sigma_s,ratio_demand,ratio_supply,W_FPG
华亭镇,33.0,60,16.0,33.0,0.55,0.48484848484848486,1.928986384944935e-05
华新镇,3220.0,3706,102.0,236.0,0.868861305990286,0.4322033898305085,0.007985463791207181
华泾镇,275.0,311,2.0,2.0,0.8842443729903537,1.0,-0.00017764618800888225
华漕镇,2674.0,2943,135.0,254.0,0.90859667006456,0.531496062992126,0.005476472176729204
华阳路街道,121.0,125,3.0,4.0,0.968,0.75,0.00013446829509005672
南京东路街道,67.0,74,44.0,124.0,0.9054054054054054,0.3548387096774194,0.00020104582030037486
南京西路街道,90.0,93,7.0,55.0,0.967741935483871,0.12727272727272726,0.0003857075566920127
南桥镇,2461.0,3127,67.0,295.0,0.7870163095618804,0.2271186440677966,0.008639526276831977
南汇新城镇,161.0,185,0.0,50.0,0.8702702702702703,0.0,0.0007944732297063903
南码头路街道,518.0,563,22.0,96.0,0.9200710479573713,0.22916666666666666,0.0019194629492556956
南翔镇,1713.0,1980,66.0,188.0,0.8651515151515151,0.35106382978723405,0.005022914468400082
友谊路街道,1187.0,1318,15.0,79.0,0.9006069802731411,0.189873417721519,0.004622486234606651
古美街道,171.0,193,19.0,25.0,0.8860103626943006,0.76,0.00012000986923266719
叶榭镇,119.0,179,44.0,47.0,0.664804469273743,0.9361702127659575,-0.0002396963636077295
合庆镇,2275.0,3038,92.0,108.0,0.7488479262672811,0.8518518518518519,-0.001544169385274739
向化镇,53.0,225,21.0,22.0,0.23555555555555555,0.9545454545454546,-0.0007982863423277931
吕巷镇,43.0,87,49.0,92.0,0.4942528735632184,0.532608695652174,-1.6466600156620443e-05
吴泾镇,1397.0,1601,49.0,183.0,0.872579637726421,0.2677595628415301,0.004778272587666965
吴淞街道,621.0,699,17.0,38.0,0.8884120171673819,0.4473684210526316,0.0015212902723129064
周家渡街道,153.0,179,22.0,36.0,0.8547486033519553,0.6111111111111112,0.0002152041012144639
周浦镇,1522.0,1845,108.0,213.0,0.8249322493224932,0.5070422535211268,0.002894187230463958
唐镇,1847.0,1989,24.0,38.0,0.9286073403720463,0.631578947368421,0.0029153193865492756
嘉兴路街道,261.0,273,1.0,1.0,0.9560439560439561,1.0,-5.921539600296071e-05
嘉定工业区,604.0,698,32.0,133.0,0.8653295128939829,0.24060150375939848,0.002151789540468492
嘉定镇街道,0.0,17,8.0,16.0,0.0,0.5,-4.194423883543054e-05
四团镇,12.0,146,0.0,51.0,0.0821917808219178,0.0,5.921539600296077e-05
四川北路街道,279.0,315,7.0,44.0,0.8857142857142857,0.1590909090909091,0.001129466388533746
四平路街道,52.0,64,2.0,10.0,0.8125,0.2,0.00019343696027633854
城桥镇,145.0,507,32.0,44.0,0.2859960552268245,0.7272727272727273,-0.0011040082542673215
堡镇,62.0,185,12.0,12.0,0.33513513513513515,1.0,-0.0006069578090303478
塘桥街道,146.0,152,1.0,48.0,0.9605263157894737,0.020833333333333332,0.0007048276996463525
夏阳街道,421.0,462,24.0,55.0,0.9112554112554112,0.43636363636363634,0.001082654823587466
外冈镇,149.0,225,2.0,14.0,0.6622222222222223,0.14285714285714285,0.0005766451658383562
外滩街道,505.0,523,6.0,94.0,0.9655831739961759,0.06382978723404255,0.002327249056385866
外高桥保税区,216.0,229,49.0,67.0,0.9432314410480349,0.7313432835820896,0.00023943936866371325
大团镇,0.0,125,4.0,25.0,0.0,0.16,-9.869232667160128e-05
大场镇,1634.0,1898,69.0,173.0,0.8609062170706007,0.3988439306358382,0.0043276300007558804
大宁路街道,125.0,138,10.0,81.0,0.9057971014492754,0.12345679012345678,0.0005327558004587366
大桥街道,594.0,629,7.0,24.0,0.9443561208267091,0.2916666666666667,0.0020258656139485152
天山路街道,181.0,188,23.0,55.0,0.9627659574468085,0.41818181818181815,0.0005052149922616245
天平路街道,1.0,1,3.0,3.0,1.0,1.0,0.0
天目西路街道,1401.0,1467,98.0,471.0,0.9550102249488752,0.208067940552017,0.005407176566544244
奉城镇,195.0,450,68.0,111.0,0.43333333333333335,0.6126126126126126,-0.0003981035069117969
奉浦街道,297.0,386,28.0,107.0,0.7694300518134715,0.2616822429906542,0.0009671386834720331
安亭镇,2529.0,2973,160.0,251.0,0.8506559031281534,0.6374501992031872,0.0031278586615787044
定海路街道,213.0,248,8.0,11.0,0.8588709677419355,0.7272727272727273,0.00016104793306865846
宜川路街道,97.0,101,21.0,24.0,0.9603960396039604,0.875,4.2561065877128034e-05
宝山城市工业园区,502.0,550,170.0,244.0,0.9127272727272727,0.6967213114754098,0.0005862485994992578
